ticker,code,name,price,pct_chg,turnover_pct,pe_ttm,high,low,open,amount,cost_1lot,lots_per_10k,turnover_pct_norm,pct_chg_norm,pe_score,score
920156.SZ,920156,海昌智能,48.49,9.93,47.13,14.49,52.58,46.5,47.0,502024982.78,4849.0,2,1.0,0.7203436807095344,1.0,0.9161031042128602
301246.SZ,301246,宏源药业,29.97,15.76,33.11,20.76,30.49,25.5,25.89,1593696590.49,2997.0,3,0.44716088328075704,0.8819290465631929,1.0,0.7434430672812606
002842.SZ,002842,翔鹭钨业,38.49,10.0,32.76,12.57,38.49,36.51,36.51,3358460816.3,3849.0,2,0.433359621451104,0.7222838137472284,1.0,0.6900289927046102
002297.SZ,002297,博云新材,24.5,5.56,33.99,26.53,25.4,22.5,23.44,4678908321.61,2450.0,4,0.4818611987381704,0.5992239467849223,1.0,0.6725116635307449
920177.SZ,920177,恒道科技,34.41,4.75,27.89,26.15,35.79,32.8,32.8,114029926.6,3440.9999999999995,2,0.24132492113564669,0.5767738359201774,1.0,0.569562119230312
001266.SZ,001266,宏英智能,40.59,2.71,28.91,28.96,43.45,40.35,41.9,704106694.98,4059.0000000000005,2,0.2815457413249211,0.5202328159645233,1.0,0.5686881413193254
300283.SZ,300283,温州宏丰,12.45,2.38,28.26,27.48,13.0,11.85,12.2,1284746121.29,1245.0,8,0.2559148264984228,0.5110864745011086,1.0,0.5556918729497017
002081.SZ,002081,金 螳 螂,5.9,10.07,21.77,22.23,5.9,5.07,5.17,3220259781.42,590.0,16,0.0,0.7242239467849224,1.0,0.5172671840354767
300083.SZ,300083,创世纪,10.19,20.02,26.82,58.78,10.19,9.17,9.17,4039528832.3,1019.0,9,0.19913249211356468,1.0,0.4,0.49965299684542586
688811.SH,688811,有研复材,24.08,12.05,34.23,11353.94,24.8,21.46,21.48,730651842.0,2408.0,4,0.4913249211356465,0.7791019955654103,0.2,0.4902605671238817
